sequence,family_accession,sequence_name,aligned_sequence,family_id
11,0x1cc8c30b4bbaf5,39767.112256772176,1.3299167670363579,1.0869761787342718
12,0x6e4c9c8fe4b8e91,48471.87197671553,4.302229120855385,1.0707454971067143
3,0x6055d5885d905d7,36235.14740860321,1.6835104587269711,1.1664853929515828
6,0x3f1e338491b544c,46960.83780262195,4.538769214518956,1.0806489445141472
16,0x9399b665c30e856,48786.34339355776,2.7864493898416893,1.0774265646467978
13,0x2829615068d215a,46103.55341785584,3.483205646333925,1.0259539445525971
5,0x4f73ffee0b14001,46988.29868498233,2.6436998616644147,1.106786803984445
4,0x957e770900c5a48,47451.6908434802,3.242749440933887,1.1217313290553315
10,0xbb8e8bd3ee3bef8,45080.159469920254,2.7447590318381727,1.0309588510956356
18,0x59e05b3d85cfa6b,38950.04052848515,2.138059184920132,1.1904198056544115
9,0x627fb672c454446,46711.10987515745,1.8022231394673858,1.0452666182484758
10,0xc39cea622e6f387,36777.513640606216,1.300109960311839,1.1568321791802112
19,0xe3a7d45f466bdac,40745.429479454266,4.461628088464599,1.0217989837733785
5,0x4ccd1690b327488,40359.047551639975,2.01711333041293,1.0530777532142925
12,0xc289944cdf2503b,39043.423055668834,1.8352381388288204,1.0568089403135614
10,0x3ed53da30274cbd,39341.261435616005,2.1720563942774205,1.1692494292942015
15,0x580c4d81b65669c,39877.82954051671,3.195948654557534,1.082458943365167
2,0x935d8f3d677ca80,43123.60725983335,1.416964911598947,1.1990815427494677
10,0xe8d5906bc565914,43608.789898989955,4.498702977103943,1.13595693806617
16,0x4fa665cef75881f,35558.52841980693,2.2175115776028638,1.1239546094853021
7,0x9f6815ea597135c,38868.35731594282,2.1302987257110297,1.1556949942929418
12,0x55f7b1df89dc722,38207.91553968622,4.3808695801562525,1.0276819773478487
10,0x2f9a4dfd58c8793,49440.45221454123,1.2735322264754814,1.118221780005041
13,0x9dc6ef979ca881,36620.90669164494,4.711588739868226,1.0190360797550835
5,0x963dc97e0946165,49103.91185429278,1.1168241949457394,1.0436606771473562
14,0x4b382cec528961,35964.57591558378,1.7156923545680094,1.1364529906597718
8,0x885b95f4b63c1cb,38158.6144769687,1.026284554704429,1.0756786582879534
8,0xe31360efa26ed0a,36988.1851756774,2.677545819269202,1.1479859230901799
12,0x3c280d08e7b897,47863.75431696341,3.7057277569529092,1.1174563442976266
9,0xe7228e487cad664,35514.99424296876,2.993984989797667,1.0958921300079274
13,0x351e81fd499d6da,35014.55524419704,2.6645064968804077,1.0508026333513836
16,0x311f4ba9c85551e,46155.69964414983,4.53553865752378,1.1914631434674179
18,0xcdcfdec6122a8ca,42517.72965391203,1.5506432858015438,1.0227059454951324
17,0x6f57cbad343f401,46232.99585874274,3.469940489809715,1.038841886840048
9,0xaa46e6a7341bde3,43816.823383352676,3.903955391579751,1.1287692361332378
5,0xfde333344d62dc1,36151.79619629131,3.59523701161332,1.0635085563950928
7,0xe91e41b0e2c606c,47836.81116938566,3.408751238904849,1.104009070415103
8,0x416cdee0364e62e,37583.76220362936,1.9170867794120325,1.1264217232037748
11,0xc52410767b46345,35478.37763926376,4.920319197731061,1.0672309432121176
7,0x3919ee9e9a1e998,39343.19611898439,3.556113472565921,1.0229005200077168
2,0x71ad5e1e03b174f,38379.6194686964,2.973234512510332,1.1961898468344392
19,0x36965c2e9745336,35299.24789649832,4.2619696262722915,1.0459198743846174
8,0x820ffde4376ed1e,42652.33087586162,3.8272307695766146,1.0132483898375255
12,0x4e2bad4f2a566b,35243.52358299682,2.8582328529925585,1.0588007533912636
18,0x2ca1e3567f8d75,35126.55296737961,4.883004382091549,1.1496716041631083
7,0xfce6e47dc1cd3c3,35690.356838498454,4.3549578367593575,1.0284918059405306
11,0xdf46eba36a5e9ab,44579.17524385403,3.2400452815391705,1.0782314798957404
1,0x5852b8cf624d4db,35142.417775202746,2.0350516557261256,1.0594746208554802
17,0x78990bc6abd4bed,38467.247130859985,3.4570317931959234,1.060491264508423
15,0x55413435a4f8e36,41116.61261683726,3.3086829216435896,1.0032194982997353
19,0x56cc84f4b91d14c,47696.928175522,2.013033795374186,1.1035432080244512
1,0x98b1ba7c1affa30,43402.17630800317,1.2478159187304922,1.1309158104417805
17,0xbf75e8839ea9ef5,36395.01887895608,3.8021132557911654,1.1700140892939572
2,0x854c5bc3fe422c6,42553.63099501955,3.18430870160886,1.0187348452974674
10,0x14b2fb75c388e7,46519.41695213091,3.657007610528165,1.1748402579908175
12,0x87f68fb1d501b19,40367.27636746506,4.722224869930869,1.1280851739354836
14,0x25c561360711bc6,40788.28792456507,2.456068598694953,1.1052087387027192
11,0x585ac6cb955c83f,40534.17483611698,1.4965353790176654,1.1159150030318055
7,0x31a3f5541666cf5,48782.97081849053,3.0454897366961844,1.09181275801315
5,0xc0a00f671bb3ebf,41077.43487064412,1.4297251654540655,1.0042709666881802
6,0xba0efff3d4ccf0f,39536.65278123573,2.705344089519336,1.032772921565594
2,0xa04f521b85033c6,45752.91634696527,2.069459553485159,1.0498214149919498
5,0xfbc53d379a9e123,44687.261648390704,4.135441580346718,1.0385339338967818
6,0x387b911af84bc9,36338.63927622219,3.9448269747322637,1.197251550718464
13,0xd0d097176b9aa82,41810.962817813204,2.8384575943298103,1.1113500933656273
2,0x10a9008e4507e4f,47619.002491986146,3.900245076224503,1.0917036020862925
13,0xc74bbdca8e08d63,37311.81834486485,2.8106618256228426,1.0942442159091679
11,0x3ce69ee2f59c7d,41294.96834496961,4.442349635584721,1.0013413264694484
18,0x14af5f1803e06ef,39291.38155431342,2.6945803658521688,1.0635369889166204
15,0xa28b2df082994f,47360.63911414213,1.5558117801208668,1.1855691159246613
2,0xc865cd3a0e96176,35304.852739392445,2.7752052403533964,1.0307446814035053
6,0x275e7b2e2c3bf3f,43844.05059840281,3.5491146199720385,1.100562763284165
11,0x9fd687b7bd0912e,44610.565991265066,1.8332751724756466,1.0598222807763298
5,0xa5137398bb7b493,42373.44648705146,3.76547094811042,1.1211163488824873
12,0xd464a1977fbf66b,38904.13921174389,1.9341034303082738,1.0776768928043343
6,0xa4ee9543a2fac57,36600.55871012521,3.007957766430243,1.1153972088497346
19,0x590e56b225fec5b,42825.81866969788,3.514824338652884,1.0557881776094156
14,0x25ed2bc61733078,49333.339325361405,3.420907734335421,1.1318030850601815
4,0x353dedc9a1488ae,35841.52603461194,4.49102177798121,1.1460923799421263
12,0x498217c7f04a94d,35685.47712912003,2.4857403365062445,1.0951018446567975
7,0x52b9ad09e714723,48389.606291426964,2.99069136418922,1.0936837605925014
16,0x8f5770d9efabf33,35094.37006636417,4.070346990979029,1.0950503109307135
13,0x102b2cf90795e6a,38938.02522698063,4.047647562260032,1.1622635843843523
6,0xd134ce0e4ab784,36254.892520673915,3.9845298635773716,1.1366821452669313
15,0xa648dc347a2f8e5,47884.45876610199,1.498990474408957,1.1346277974944905
17,0xfb164dba5f8e090,45435.50664043403,4.864462835861547,1.1650165326865076
8,0x2864ccb0403905e,40404.9862331395,3.1509700245293426,1.0519465541362978
18,0x61b4d957264f1f9,37967.52593615754,1.6043079734727437,1.106187638778211
4,0x9d12ce714db8da1,41456.91686523777,1.0228709639871667,1.1543121695519563
10,0x2706c94d19fe711,39160.05584818881,1.736390450122561,1.1595039133348506
3,0x5a21468ec212173,49515.734377266344,2.724709407422958,1.1515406444481922
14,0x20f799b35b72985,45897.99920632711,4.598768285124299,1.1766770426744633
14,0x13d30068c90c98a,49109.74153066806,4.042630218947648,1.0495142406563602
7,0x142ffc44aa69cff,42501.2053516724,4.503927610963528,1.1904548850607135
8,0xf30b67cb59e241b,35673.30039502625,2.392106248296051,1.1892076197511197
17,0x6f1eaa931a5837b,37645.495748851354,4.924848744499075,1.0720585555538076
14,0xfae91fd098c5e35,49230.474000393275,3.5570066850351303,1.0065266994692463
15,0x7f26a9b84f46995,45657.42539594003,3.3940771583315055,1.0112003380147785
3,0x1dffed3d2ee8188,42145.053224634226,2.5939010628811188,1.0036457073316638
17,0x5ef7d0e0bc0c0f5,47780.88183221528,4.617163640742865,1.0737297773582095
3,0x8a7fc1af18d40b3,41332.62383020717,3.374554360129178,1.0241847848513976
17,0x2fcdb72ff9c8043,37222.30297885722,1.8614403813356262,1.1947897629309634
16,0x819038b52e2a28e,35917.15952850304,4.333744516055161,1.1538320850248356
8,0x4c7efcd92174501,38121.72143563892,2.315619709202869,1.0614970249164253
7,0x615cfdf00f96ef4,35083.060466529445,4.6779179154634765,1.1811588254127923
13,0x9a1d513ee54e3c,42354.32099964202,1.115610679816728,1.1750670874878346
19,0x599ccd43920d4b7,37571.15851795952,1.0245960491812451,1.0881893458058387
19,0x2deaf9059a407d5,46464.49679686803,1.8099834181740393,1.1198623550692013
19,0xddff0bf978a668c,36294.56540482178,2.69690454134494,1.0798168543701634
5,0x676f83168f4690f,48565.88236647712,3.5628066096064432,1.06902603786537
5,0xa151d3005a2bb5a,36774.27321406828,1.4231493860185416,1.0774598261485628
8,0xecdce5eeaee0413,42495.22472019931,4.027787203486577,1.133800676348824
9,0x28623d559d0172e,40111.78807664194,2.3253185637091858,1.1184529640512546
8,0x10817cfa9fcde51,48904.45259661556,4.1078755950529695,1.101220267640293
11,0xde72210eb0399c2,40500.4061439099,4.322853585318545,1.0628437240880246
4,0x399bb06f679e391,38294.391814155446,1.3459954658507778,1.0845589586162887
10,0xb6e4751dd8bf0fa,42692.10069467139,2.702370257076992,1.0978427118674692
8,0x3dd2f108a3fe662,42421.42514108411,4.497835213827292,1.1012274486390332
15,0xd9de9556e150d5d,35866.05287000123,2.706019915457767,1.146660466014491
2,0x850fc8e24766434,40873.55065724796,2.5426488494564334,1.0999194781366022
4,0x9e7c913bd116c13,45748.07909182927,1.5161183943829677,1.114562910533291
17,0xcddb745602f431f,42889.285785526314,2.268811188893686,1.1103894245477408
7,0xc151569a5d398d5,35660.74326754763,2.9759464385353374,1.0377178468340977
9,0x25c5bb34e76f897,42004.94458697148,3.5188194011402847,1.106378051442852
15,0x46cf91e16479f47,46054.49548069214,4.69020815450486,1.1781772864825708
18,0xbcc396e13e5e0c,36598.918756426865,3.8760316831337045,1.088935430618805
5,0x9632eb56f853dc4,46059.070291010044,2.9883597031173936,1.064527115545562
5,0x62892a8d1782e9a,42384.24099843617,3.829499748786769,1.1077959829443031
18,0x2f51f2299d26be1,36893.51403708167,2.6647098720939013,1.0211126617198722
1,0x17edf93b32a3d72,42900.767239976754,3.347046854806793,1.0054040083411013
13,0xbe636613ad6227e,46838.43138570924,4.660488289002378,1.159990618924464
14,0x3218750b03d8a18,42963.176509743455,2.0127730625048375,1.1865800194030158
14,0x31bd510d1681857,47524.61973679633,3.5250724671987403,1.0377050751455668
12,0xac4220bd9a65fe9,46618.106743512144,4.02150367183072,1.180546213945632
2,0xc7b502147f0b4ed,39034.614664961744,3.0430905616159003,1.0092481473285466
11,0xc9f9398edf8e58d,47059.58722954173,3.9545565039008173,1.0895835908529452
17,0x7f5276ae8c23487,36216.619510101365,2.3877979098778033,1.1721772284686613
18,0x665526818797f47,38214.01751587693,4.230176005521425,1.021080450925873
11,0x528b76aba09c34,39241.45829986091,4.6899283324215215,1.1091373831012281
12,0x782286afd1e4acd,41985.02436055459,1.4771988198420587,1.0816426915107276
3,0x99a9cbcf4254a87,38726.285405618364,4.57928987279335,1.0516835509278202
18,0x75d0865e1fdb95c,43593.34245381426,2.0898574297146975,1.1025749933683848
19,0x34b1ddf7725da97,40677.89308637332,4.750970699944597,1.0559808841332103
11,0xbf89e379d31b9fa,38765.37832311878,1.8466712894701343,1.135243527270357
16,0x921e16b23a7fc69,43638.24373119534,4.485601200260454,1.158853701137686
14,0x4efcf9a6e9a42ec,46653.291280264624,4.184888232086884,1.0887057078157467
4,0xb24b2cb7e99cf26,35404.84987961603,3.487006558640936,1.1237321378806517
17,0x718c6aee24001b2,42470.70334492503,3.798368690402192,1.1492096557361062
15,0x3e48cf8098cca12,49526.684008702185,2.069659015061907,1.146500459680159
11,0x98fe771fb72a116,44244.39610104912,4.421663587082606,1.1358612941858934
16,0xf54a6d762c0d302,39498.38964150736,1.1822232376629636,1.0806996765244117
19,0x141afa7bb7aabc6,37007.66900139061,4.850928101181147,1.082741358221059
4,0xcb46ce6a32ec94e,42652.24772073702,1.3879284499089688,1.0067475275903575
10,0xe2b73df2865bf46,37575.86798042588,1.9326497966552627,1.0138647320026384
17,0x3032befc66659eb,40956.62987495619,4.270537395605026,1.0314635349647012
5,0x66a597a91efe140,43230.04437942939,2.329384814974487,1.0435761612125476
5,0xe0f4a11f3cd210,49187.25058796765,3.097576365131954,1.1517153743507094
2,0xfd572b185f4a345,49411.72279332287,4.917939710545756,1.173312823118971
2,0xaeb6e5b05d044fd,46704.05387973873,4.516692060998418,1.1687516345008646
15,0xb22acd98d0c5587,39504.349344490875,4.444356162468509,1.0770209201735141
4,0xdc7be60fa1df8c0,42997.730767490626,3.430649009666643,1.1894746311726168
16,0x71580d3a0a00651,35262.8261674542,1.6640394972756822,1.0110905139827269
11,0x2e387b512bc3732,39123.75619383645,3.642824115785672,1.1575512312645544
12,0x113e10c26444244,37457.144284293376,4.613481032747983,1.1356360931259422
11,0x8772335134262ff,47752.99348681404,4.674690085988824,1.1563864501057861
13,0xd8fe339f9f3b6a2,40821.62072154852,3.5591618378810055,1.1796430210308724
12,0xda3bdf802c32630,39473.72780442852,3.5676356560945477,1.1487611239346944
5,0xb334b9fa0ac445d,39011.627069222945,3.9332230444123177,1.0782193141525556
17,0xa8d0b659ad0ddd8,47218.70360657976,1.2174200172138931,1.01250697011391
13,0x12051d562577626,48191.961041364324,2.560847486840102,1.0676253610994855
10,0xbc5a041c04e7a05,41822.03018094298,2.2834297119117086,1.0044313583217663
11,0xcc474222d757f84,45592.97828843413,4.061048764171401,1.1617012476519597
9,0x5eb4b3d156e7e96,39999.440505980354,4.744254073873391,1.0582065453378744
1,0x20e10d09bc85aef,46383.31466494352,2.6829128581657815,1.0990300436494833
1,0xe2adfda00291225,36926.5813423476,3.8401944677217963,1.1692953959853887
18,0x2f5620bd166c7e2,44068.210389842025,1.6552829698241256,1.034914153522868
9,0xa9280c4660416b5,47482.90985307538,4.372910479885182,1.1783227844314814
15,0x2ceafdaece19252,47813.54586434074,4.068369643299746,1.0809905281788144
6,0xa007019b5eb3fdd,38659.899444698625,4.321821378519181,1.1020276439815748
19,0xf15aa034da66415,47606.12326271586,3.3159966592552435,1.0391268805356353
12,0xc2dd673882bfb7f,40754.43244113843,4.029860755139349,1.1431438759013526
18,0xf1d6252ebb48edd,35422.7895399284,2.224051504415214,1.0304040018211045
1,0x8c1cd4c5c937416,47582.51143901868,2.3375719063686318,1.0499053913228749
11,0x697cad667b44841,40366.67669098788,1.239754241485707,1.1029064632549366
16,0x198e66a6f2207,41017.98536748181,1.7360793742947807,1.171759666098755
8,0x2b10a859d0c9236,43618.163611550655,4.890979595010817,1.0049055384302188
17,0x8e783649d498e84,43503.985260500616,3.9612521847646653,1.1766679404649067
2,0x51cf4fc4e5252cc,36990.99150948587,1.09643981034319,1.0310331630245926
18,0x77a9e003c805ff1,40396.138517360756,1.3801642725995906,1.0440765412397406
17,0x5ff1fb767c569f7,37505.41985031251,1.9993680722347258,1.0668583088807242
11,0x1c939e7ac74273,49923.053044962915,1.7377396132117515,1.0528933798180893
6,0x5eed19c8ffa02b2,35376.2539505583,4.770924685223985,1.188011700552606
1,0x3e468f0a0279592,38226.353249999716,4.982697193129935,1.1594339036424595
14,0xe2823dd599a8362,47295.62891213822,3.446340889641761,1.0247519627434527
7,0x86e4c86c031d2e7,49966.78831231114,3.822501580144038,1.1148015229107122
14,0xcccb4134684d2a9,35538.84114983142,4.36968735774363,1.1026361034140741
18,0x7f97e214bf9c00d,47939.15026736519,4.366221850748266,1.1406398773788875
8,0x867cda846b79399,46811.50055841008,1.4710898330303523,1.0478742089358664
11,0xacd22cac478b095,35724.43914190294,4.577552019431373,1.169599410545927
12,0xf5e1c328eb7285e,48833.95012105901,4.657801395655392,1.1511875403243053
3,0x589f2fb4e9e48a7,37838.633269857826,3.0270954265009813,1.0690401635933486
8,0x52a876e4189796a,43504.58695169233,3.5309426731076767,1.126391949998069
3,0x9c520227467765a,35139.926214551255,2.119989266571158,1.1436590061092033
18,0x46380061d6b10a1,35985.021081018924,3.8473267102672786,1.0299937355772193
17,0x867208d565c2fec,49259.7194894062,2.135979153161333,1.1798629179591928
5,0x8b44a1e14514173,46640.1906801233,4.761446896724922,1.1861511392919173
19,0xdcd993c60b02dac,38515.00018335495,4.409705545708155,1.1321811519121319
4,0x8e75b3efaa1120a,43782.54682398998,3.6297393452258495,1.1046498442366322
10,0xba0fbc91fe09261,38966.26509058582,4.217061914826516,1.1365291533355848
19,0x77384a80f60367f,40199.00177194967,2.9535822895767945,1.0647873094974645
17,0x1f0486e7b6fe5c0,42392.77739208643,2.336313666498978,1.040078337405622
15,0xdf7cc688bd7d7c0,35025.18400625022,4.5728272156826915,1.1392517483830813
12,0x51ae6ab95adaab5,36756.32458761633,1.1081346917586545,1.1753150132422285
19,0x9cc43e6abc2ffb3,49954.79052842172,1.7023931163812898,1.154599552483114
12,0xc1c168864cc1e03,36338.048430154326,2.9939855081469346,1.1020393179032335
14,0xafc79a6b2bdef04,46708.30344866296,3.7912470168764982,1.138435419940297
8,0xf5439f1d987b3f2,48014.60700207409,2.439641607854724,1.0835788531699755
9,0x9a3883b7f141e62,41543.71048656328,3.7941546677546003,1.102552685383045
8,0x6112c0f8b25f76,44434.52411182709,3.6864225645561155,1.1464410236630387
10,0xc4d70c96487d29a,49641.36365029872,2.912745399151773,1.061609154654224
1,0x5addc0407b1709d,41217.66508848269,3.288701300079552,1.0214527721013607
19,0x275d3c649fcb364,43448.17663788626,3.4949075677600745,1.148715418731616
11,0x61b5d8ff495357d,49922.26164351416,4.344610721062905,1.01716910458649
15,0x1b2a32fecb2206,46714.85736599879,3.9210295892520817,1.0795962293190708
15,0xf6bfeca44096a23,38928.202869070235,2.477665352962583,1.178286076693217
14,0x3687d327fad70e6,41044.94620116051,1.3021676237420636,1.186518267004659
19,0xd9fafe5f8067dac,42787.34016954802,2.367971797368284,1.0188668463953663
17,0x5a3b62e0246663,35875.44019655093,1.7463421184325036,1.0453113515423804
7,0x17be6acceb47b6,41762.32502245867,2.283330022604258,1.1866158195061562
18,0xfc1db838ece450a,48462.15637749335,4.565419734347765,1.1336173172335733
5,0x48bbfda0d1524e5,44652.514057863154,4.698080116768621,1.1755505894795537
10,0xe303bc12104a9fe,42613.20798812954,1.0921645309728292,1.0284945765203632
13,0xeac65d17245cbf5,36072.16289995855,2.5147917004742992,1.0048852932535857
